sold_on,price,address,bedrooms,bathrooms,parking space,land size,property type1property type2,agency,agent
16 Jun 2022,"$636,000","26 Creekside Boulevard, Manor Lakes",4,2,2,N/A,House,YPA Estate Agents Point Cook - POINT COOK,Justin To
15 Jun 2022,"$620,000","22 Eltham Parade, Manor Lakes",4,2,2,400,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
11 Jun 2022,"$655,000","9 Toolibin Street, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
10 Jun 2022,"$720,000","15 Cornubia Road, Manor Lakes",4,2,2,488,House,Crane Real Estate - CAROLINE SPRINGS,dam Buhagiar
04 Jun 2022,"$770,000","25 Rosewater Street, Manor Lakes",4,2,2,571,House,McGrath Estate Agents - WERRIBEE,Taney Jai
31 May 2022,"$630,000","15 Bellfield Court, Manor Lakes",4,2,2,400,House,Barry Plant - Werribee,Reece Beckley
23 May 2022,"$660,000","12 Mchaffie Terrace, Manor Lakes",4,2,2,448,House,Ray White - Werribee,lex Krnjeta
23 May 2022,"$546,000","3 Bungalook Street, Manor Lakes",3,2,2,350,House,Good News Real Estate - WYNDHAM CITY,Garry Deol
20 May 2022,"$550,000","29 Silver Gum Street, Manor Lakes",3,2,1,415,House,Ray White - Werribee,lex Krnjeta
19 May 2022,"$585,000","6 Orvalia Road, Manor Lakes",4,2,2,N/A,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
16 May 2022,"$750,000","25 Minindee Road, Manor Lakes",4,2,2,576,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
16 May 2022,"$705,000","26 Broadwater Street, Manor Lakes",4,2,2,510,House,Ray White - Werribee,lex Krnjeta
16 May 2022,"$640,000","57 Kinglake Drive, Manor Lakes",4,2,2,512,House,McGrath Estate Agents - WERRIBEE,Taney Jai
16 May 2022,"$590,000","40 Yellow Gum Way, Manor Lakes",3,2,2,546.21,House,Envision Real Estate Vic,Jay Radbour
12 May 2022,"$540,000","7 Orvalia Road, Manor Lakes",3,2,2,N/A,House,Ray White - Werribee,lex Krnjeta
10 May 2022,"$535,000","22 Maclarens Close, Manor Lakes",3,1,2,384,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
05 May 2022,"$700,000","7 Gairdner Street, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
05 May 2022,"$493,000","12 Silver Gum Street, Manor Lakes",3,1,3,417,House,Ray White - Werribee,lex Krnjeta
04 May 2022,"$461,500","16 Holloway Street, Manor Lakes",3,2,1,N/A,House,Equity Wise Real Estate - WYNDHAM VALE,Sweta Malik
01 May 2022,"$640,010","17 Brumby Street, Manor Lakes",3,2,2,400,House,Ray White - Werribee,lex Krnjeta
20 Apr 2022,"$774,000","23 Rondo Drive, Manor Lakes",4,2,2,608,House,McGrath Estate Agents - WERRIBEE,Taney Jai
20 Apr 2022,"$694,000","1224 Ison Road, Manor Lakes",4,2,2,512,House,Ray White - Werribee,N/A
16 Apr 2022,"$625,000","44 Firecrest Road, Manor Lakes",3,2,2,447,House,Ray White - Werribee,lex Krnjeta
12 Apr 2022,"$560,000","21 Cardinia Grove, Manor Lakes",3,2,2,448,House,McGrath Estate Agents - WERRIBEE,Taney Jai
12 Apr 2022,"$506,000","35 Hawkstone Road, Manor Lakes",3,2,1,320,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
11 Apr 2022,"$690,000","32 Bertie Street, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
06 Apr 2022,"$680,000","13 Clarence Street, Manor Lakes",4,2,2,683,House,McGrath Estate Agents - WERRIBEE,Taney Jai
04 Apr 2022,"$600,000","132 Kinglake Drive, Manor Lakes",3,2,2,498,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
30 Mar 2022,"$702,000","21 Peppermint Crescent, Manor Lakes",4,2,2,560,House,McGrath Estate Agents - WERRIBEE,Taney Jai
30 Mar 2022,"$665,000","6 Edenvale Street, Manor Lakes",4,2,2,448,House,Ray White - Werribee,lex Krnjeta
29 Mar 2022,"$650,000","5 Burdekin Street, Manor Lakes",3,2,4,512,House,OBrien Real Estate - Werribee,Lynne Steinhauer
29 Mar 2022,"$648,000","4 Ellenborough Crescent, Manor Lakes",4,2,2,499,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
28 Mar 2022,"$725,000","3 Melliodora Court, Manor Lakes",3,2,2,576,House,Ray White - Werribee,lex Krnjeta
24 Mar 2022,"$800,000","3 Burrumbeet Court, Manor Lakes",3,2,4,900,House,McGrath Estate Agents - WERRIBEE,Taney Jai
18 Mar 2022,"$600,000","56 Eureka Drive, Manor Lakes",3,2,2,511,House,Ray White - Werribee,Robert Krnjeta
17 Mar 2022,"$500,000","23 Maclarens Close, Manor Lakes",3,1,2,384,House,Ray White - Werribee,Jamie Woodi
17 Mar 2022,"$450,000","10B Miniata Way, Manor Lakes",N/A,N/A,N/A,N/A,Unit,YPA Estate Agents Point Cook - POINT COOK,Justin To
12 Mar 2022,"$676,000","46 Pedder Street, Manor Lakes",4,2,2,476,House,Barry Plant - Werribee,Reece Beckley
08 Mar 2022,"$675,000","1 Koomba Street, Manor Lakes",4,2,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
03 Mar 2022,"$590,000","13 Mundi Crescent, Manor Lakes",3,2,1,400,House,hockingstuart - Werribee,Eric Bartz
28 Feb 2022,"$510,000","120 Holyoake Parade, Manor Lakes",3,2,2,287,House,Local Expertz Realty - Melton/Caroline Springs,Shannyn Cannell
26 Feb 2022,"$665,000","42  Howqua Way, Manor Lakes",3,2,2,572,House,OBrien Real Estate - Werribee,Lynne Steinhauer
25 Feb 2022,"$870,000","35 Clematis Crescent, Manor Lakes",4,3,3,781,House,OBrien Real Estate - Werribee,Trish Farquer
22 Feb 2022,"$670,000","4 Clematis Crescent, Manor Lakes",3,2,2,512,House,Barry Plant - Werribee,Reece Beckley
22 Feb 2022,"$551,500","13 Yarraman Road, Manor Lakes",3,2,1,320,House,Ray White - Werribee,lex Krnjeta
18 Feb 2022,"$648,000","159 Eureka Drive, Manor Lakes",4,2,2,532,House,Barry Plant - Werribee,Reece Beckley
17 Feb 2022,"$571,000","3 Roper Court, Manor Lakes",3,2,1,474,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
17 Feb 2022,"$540,000","24 Silver Gum Street, Manor Lakes",3,2,1,428,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
16 Feb 2022,"$700,000","42 Bonhams Circuit, Manor Lakes",4,2,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
12 Feb 2022,"$590,000","15 Yarraman Road, Manor Lakes",4,2,2,N/A,House,McGrath Estate Agents - WERRIBEE,Taney Jai
11 Feb 2022,"$683,000","12 Cranberry Crescent, Manor Lakes",4,2,2,449,House,McGrath Estate Agents - WERRIBEE,Taney Jai
10 Feb 2022,"$915,000","19 Peppermint Crescent, Manor Lakes",6,3,8,663,House,McGrath Estate Agents - WERRIBEE,Taney Jai
09 Feb 2022,"$715,000","12 Bookar Place, Manor Lakes",4,2,2,618,House,hockingstuart - Werribee,N/A
09 Feb 2022,"$610,000","30 Goodenia Avenue, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
08 Feb 2022,"$615,000","25 Hawkstone Road, Manor Lakes",4,2,2,400,House,Bal Real Estate - TRUGANINA,Bal Amardeep
03 Feb 2022,"$345,500","13 Quince Road, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land,Barry Plant - Werribee,Reece Beckley
28 Jan 2022,"$515,000","5 Ellenborough Crescent, Manor Lakes",3,2,1,N/A,House,hockingstuart - Werribee,Eric Bartz
25 Jan 2022,"$705,000","8 Burrendong Street, Manor Lakes",4,2,3,571,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
24 Jan 2022,"$675,000","3 Calden Street, Manor Lakes",4,2,2,680,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
20 Jan 2022,"$730,000","18 Murrumbidgee Street, Manor Lakes",4,2,2,552,House,McGrath Estate Agents - WERRIBEE,Taney Jai
20 Jan 2022,"$661,000","7 Bungalook Street, Manor Lakes",4,2,2,448,House,Ray White - Werribee,lex Krnjeta
20 Jan 2022,"$595,000","24 Broadwater Street, Manor Lakes",3,2,2,N/A,House,Area Specialist  - Wyndham City,dam Bindra
19 Jan 2022,"$706,000","3 Kinglake Drive, Manor Lakes",4,2,2,512,House,Barry Plant - Werribee,Reece Beckley
16 Jan 2022,"$784,000","53 Rondo Drive, Manor Lakes",4,2,2,576,House,Melvic Real Estate,Charanjit Singh
13 Jan 2022,"$732,500","5 Nichollii Court, Manor Lakes",4,2,8,771,House,McGrath Estate Agents - WERRIBEE,Taney Jai
12 Jan 2022,"$610,000","5 Finsbury Crescent, Manor Lakes",3,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
12 Jan 2022,"$550,000","742 Armstrong Road, Manor Lakes",4,2,2,N/A,House,Ray White - Werribee,Jeff Gaul
10 Jan 2022,"$490,000","18 Edenvale Street, Manor Lakes",4,2,1,N/A,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
03 Jan 2022,"$469,000","1286 Ison Road, Manor Lakes",3,2,1,320,House,YPA Wyndham City - WERRIBEE,James Antonio
22 Dec 2021,"$585,000","20 Lancewood Road, Manor Lakes",4,2,2,400,House,Area Specialist  - Wyndham City,Harry Singh
21 Dec 2021,"$651,000","1 Melliodora Court, Manor Lakes",4,2,4,N/A,House,Ray White - Werribee,lex Krnjeta
21 Dec 2021,"$600,000","4 Orvalia Road, Manor Lakes",5,2,2,400,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
20 Dec 2021,"$615,000","14 Melliodora Court, Manor Lakes",3,2,2,N/A,House,Stockdale & Leggo  - Laverton/Altona/Point Cook ,Sunny Kumar
18 Dec 2021,"$480,000","8 Boga Place, Manor Lakes",4,2,2,670,House,First National Westwood - Werribee,drew Cruickshank
17 Dec 2021,"$670,000","25 Lambertia Crescent, Manor Lakes",4,2,2,512,House,Stockdale & Leggo  - Laverton/Altona/Point Cook ,Daniel Kennedy
16 Dec 2021,"$660,000","7 Balcombe Drive, Manor Lakes",4,2,2,607,House,Richardson Property Group - Werribee,Peter Richardso
14 Dec 2021,"$580,000","38 Eltham Parade, Manor Lakes",3,2,2,400,House,Area Specialist  - Wyndham City,Harry Singh
10 Dec 2021,"$550,000","6 Ellenborough Crescent, Manor Lakes",4,2,2,384,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
06 Dec 2021,"$485,000","1268 Ison Road, Manor Lakes",3,2,1,320,House,Bal Real Estate - TRUGANINA,Bal Amardeep
03 Dec 2021,"$668,000","7 Roper Court, Manor Lakes",4,2,2,N/A,House,Equity Wise Real Estate - WYNDHAM VALE,Sweta Malik
03 Dec 2021,"$585,000","164 Eureka Drive, Manor Lakes",4,2,2,412,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
02 Dec 2021,"$686,000","7 Fawkner Road, Manor Lakes",4,2,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
01 Dec 2021,"$735,000","10 Mundi Crescent, Manor Lakes",4,2,2,528,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
01 Dec 2021,"$642,000","49 Balcombe Drive, Manor Lakes",4,2,2,448,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
29 Nov 2021,"$666,500","24 Bertie Street, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
29 Nov 2021,"$625,000","21 Lambertia Crescent, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
24 Nov 2021,"$467,000","12 Fawkner Road, Manor Lakes",3,1,1,250,House,First National Westwood - Werribee,Rob Westwood
23 Nov 2021,"$745,000","15 Yarra Gum Road, Manor Lakes",4,2,2,N/A,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
23 Nov 2021,"$666,000","1256 Ison Road, Manor Lakes",4,2,2,N/A,House,Stockdale & Leggo  - Laverton/Altona/Point Cook ,Daniel Kennedy
16 Nov 2021,"$769,000","23 Holyoake Parade, Manor Lakes",4,2,2,528,House,Barry Plant - Werribee,Reece Beckley
15 Nov 2021,"$695,000","23 Heathcote Road, Manor Lakes",4,2,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
15 Nov 2021,"$650,000","18 Hawkstone Road, Manor Lakes",4,2,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
11 Nov 2021,"$675,000","22 Murrumbidgee Street, Manor Lakes",3,2,2,572,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
11 Nov 2021,"$525,000","18  Melliodora Court, Manor Lakes",3,1,1,N/A,House,Barry Plant - Werribee,Reece Beckley
08 Nov 2021,"$652,500","8 Yass Court, Manor Lakes",4,2,2,504,House,Good News Real Estate - WYNDHAM CITY,Garry Deol
05 Nov 2021,"$635,000","16 Finsbury Crescent, Manor Lakes",4,2,2,N/A,House,Hodges - Werribee,Tony Vercher
03 Nov 2021,"$715,000","28 Cherrywood Avenue, Manor Lakes",4,2,2,544,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
03 Nov 2021,"$650,000","4  Lancewood Road, Manor Lakes",4,2,2,519,House,McGrath Estate Agents - WERRIBEE,Taney Jai
03 Nov 2021,"$650,000","12 Clematis Crescent, Manor Lakes",4,2,2,448,House,Ray White - Werribee,lex Krnjeta
03 Nov 2021,"$625,000","18 Landmark Crescent, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
31 Oct 2021,"$565,000","39 Hawkstone Road, Manor Lakes",3,2,2,400,House,OBrien Real Estate - Werribee,Trish Farquer
25 Oct 2021,"$683,500","61 Spearmint  Boulevard, Manor Lakes",4,2,2,512,House,Professionals Triwest Real Estate - Werribee,Paul Nusk
25 Oct 2021,"$645,000","1145 Ison Road, Manor Lakes",4,2,2,400,House,Area Specialist  - Wyndham City,Harry Singh
22 Oct 2021,"$660,000","34 Eppalock Drive, Manor Lakes",4,2,2,621,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
22 Oct 2021,"$627,000","18 Yarra Gum Road, Manor Lakes",4,2,2,592,House,Sweeney Caroline Springs,drian Sposato
22 Oct 2021,"$550,000","154 Eureka Drive, Manor Lakes",4,2,1,N/A,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
19 Oct 2021,"$646,000","16 Eltham Parade, Manor Lakes",4,2,2,N/A,House,Ace Real Estate - Laverton & Point Cook,Sunny Sharma
18 Oct 2021,"$490,000","10 Clematis Crescent, Manor Lakes",3,2,1,400,House,Barry Plant - Werribee,Reece Beckley
15 Oct 2021,"$665,000","3 Koomba Street, Manor Lakes",4,2,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
14 Oct 2021,"$890,000","136 Kinglake Drive, Manor Lakes",5,5,2,498,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
14 Oct 2021,"$623,888","15 Heathcote Road, Manor Lakes",4,2,2,448,House,Ray White - Werribee,Robert Krnjeta
12 Oct 2021,"$755,000","30 Gelati Street, Manor Lakes",5,3,2,392,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
12 Oct 2021,"$585,000","14 Heathcote Road, Manor Lakes",4,2,2,400,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
11 Oct 2021,"$490,000","4 Koomba Street, Manor Lakes",3,2,1,350,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
09 Oct 2021,"$575,000","10 Bellfield Court, Manor Lakes",3,2,1,N/A,House,Barry Plant - Werribee,Rick O'Hallora
08 Oct 2021,"$680,000","54 Lancewood Road, Manor Lakes",4,2,2,512,House,Ray White - Werribee,Jeff Gaul
07 Oct 2021,"$652,000","11 Desert Gum Terrace, Manor Lakes",4,2,2,556,House,McGrath Estate Agents - WERRIBEE,Taney Jai
05 Oct 2021,"$650,000","12 Toolibin Street, Manor Lakes",4,2,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
05 Oct 2021,"$610,000","36 Creekside Boulevard, Manor Lakes",3,2,2,457,House,Gem Realty - MELBOURNE,N/A
05 Oct 2021,"$480,100","9 Weavers Street, Manor Lakes",3,2,2,320,House,Ray White - Werribee,Robert Krnjeta
04 Oct 2021,"$490,000","3 Tenax Walk, Manor Lakes",3,2,2,375,House,Equity Wise Real Estate - WYNDHAM VALE,Sweta Malik
04 Oct 2021,"$465,000","9 Lambertia Crescent, Manor Lakes",3,2,1,300,House,First National Westwood - Werribee,Darren Dodd
01 Oct 2021,"$750,000","10 Connewarre Close, Manor Lakes",3,2,6,"1,089",House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
30 Sep 2021,"$570,000","40 Eltham Parade, Manor Lakes",4,3,2,400,House,Richardson Property Group - Werribee,Peter Richardso
30 Sep 2021,"$460,000","32 Hawkstone Road, Manor Lakes",3,2,1,N/A,House,Area Specialist  - Wyndham City,dam Bindra
24 Sep 2021,"$705,000","7 Radiata Close, Manor Lakes",4,2,2,N/A,House,Barry Plant - Werribee,N/A
23 Sep 2021,"$615,000","16 Marmalade Road, Manor Lakes",4,2,2,N/A,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
23 Sep 2021,"$560,000","4 Saris Street, Manor Lakes",3,2,2,400,House,Hodges - Werribee,Tony Vercher
21 Sep 2021,"$610,000","37 Silver Gum Street, Manor Lakes",3,1,1,437,House,YPA Wyndham City - WERRIBEE,James Antonio
21 Sep 2021,"$600,000","13 Barcoo Street, Manor Lakes",4,2,2,508,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
20 Sep 2021,"$611,000","37 Kinglake Drive, Manor Lakes",4,2,2,571,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
18 Sep 2021,"$630,000","10 Marmalade road, Manor Lakes",4,3,2,400,House,Beyond Property Wyndham - TRUGANINA,Sam Nagpal
10 Sep 2021,"$605,000","11 Allspice Street, Manor Lakes",4,2,2,448,House,Ray White - Tarneit,Hemant Narayana
10 Sep 2021,"$595,000","5 Murrumbidgee Street, Manor Lakes",4,2,2,572,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
04 Sep 2021,"$720,000","13 Ellenborough Crescent, Manor Lakes",4,2,2,779,House,hockingstuart - Werribee,Eric Bartz
02 Sep 2021,"$820,000","34  Rondo Drive, Manor Lakes",5,2,2,N/A,House,Barry Plant - Werribee,N/A
02 Sep 2021,"$720,000","43 Hindmarsh Drive, Manor Lakes",4,2,2,653,House,Barry Plant - Werribee,N/A
31 Aug 2021,"$430,000","10 Fawkner Road, Manor Lakes",3,1,1,N/A,House,Reliance Werribee - WERRIBEE,Vik Monga
20 Aug 2021,"$620,000","33 Miniata Way, Manor Lakes",5,2,2,448,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
20 Aug 2021,"$457,000","29 Lancewood Road, Manor Lakes",3,2,1,N/A,House,Barry Plant - Werribee,N/A
18 Aug 2021,"$640,000","22  Mundi Crescent, Manor Lakes",4,2,2,N/A,House,Barry Plant - Werribee,Reece Beckley
17 Aug 2021,"$660,000","13 Shire Street, Manor Lakes",4,2,2,448,House,Reliance Manor Lakes - WYNDHAM VALE,N/A
17 Aug 2021,"$650,000","754 Armstrong Road, Manor Lakes",4,2,2,630,House,Barry Plant - Werribee,Reece Beckley
16 Aug 2021,"$588,000","11 Clematis Crescent, Manor Lakes",3,2,2,400,House,Barry Plant - Werribee,N/A
12 Aug 2021,"$855,000","1371 Ison Road, Manor Lakes",5,4,4,523,House,RIC REALTY - RESIDENTIAL * INDUSTRIAL * COMMERCIAL,jay Pal
10 Aug 2021,"$580,000","19 Muster Street, Manor Lakes",3,2,2,543,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
09 Aug 2021,"$580,000","1260 Ison Road, Manor Lakes",4,2,2,448,House,hockingstuart - Werribee,Brooke Zukanovic
06 Aug 2021,"$471,000","21 Firecrest Road, Manor Lakes",3,2,1,320,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
02 Aug 2021,"$710,000","38  Pedder Street, Manor Lakes",4,2,2,610,House,OBrien Real Estate - Werribee,Lynne Steinhauer
02 Aug 2021,"$665,000","2 Maculata Place, Manor Lakes",4,2,2,624,House,Barry Plant - Werribee,Reece Beckley
29 Jul 2021,"$635,000","4 Cardinia Grove, Manor Lakes",5,2,2,512,House,Mantello Real Estate - Werribee,Jason Mantello
27 Jul 2021,"$482,500","11 Mondra Terrace, Manor Lakes",3,2,2,N/A,House,Ray White - Werribee,Robert Krnjeta
26 Jul 2021,"$700,000","40 Eppalock Drive, Manor Lakes",5,3,2,612,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
26 Jul 2021,"$590,000","9 Field Street, Manor Lakes",3,2,2,495,House,Augment Real Estate - BALLARAT,Prince Singh
26 Jul 2021,"$517,500","4C Eildon Avenue, Manor Lakes",3,2,1,N/A,House,Barry Plant - Werribee,Rick O'Hallora
24 Jul 2021,"$612,000","17 Melliodora Court, Manor Lakes",4,2,2,495,House,McGrath Estate Agents - WERRIBEE,Taney Jai
23 Jul 2021,"$645,000","28 Medlar Avenue, Manor Lakes",4,2,2,448,House,McGrath Estate Agents - WERRIBEE,Taney Jai
23 Jul 2021,"$591,000","34 Weavers Street, Manor Lakes",4,2,2,448,House,McGrath Estate Agents - WERRIBEE,Taney Jai
20 Jul 2021,"$727,000","4 Eucumbene Road, Manor Lakes",5,2,3,640,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
15 Jul 2021,"$611,200","2 Nichollii Court, Manor Lakes",4,2,2,561,House,Barry Plant - Werribee,N/A
13 Jul 2021,"$537,500","20 Maclarens Close, Manor Lakes",3,2,2,480,House,First National Westwood - Werribee,Rob Westwood
12 Jul 2021,"$535,000","30 Lancewood Road, Manor Lakes",4,2,2,N/A,House,Ray White - Werribee,Robert Krnjeta
12 Jul 2021,"$480,000","76 Eureka Drive, Manor Lakes",3,2,2,448,House,Huxley Real Estate,Shae Joiner
11 Jul 2021,"$582,000","128 Eureka Drive, Manor Lakes",3,2,2,581,House,hockingstuart - Werribee,Eric Bartz
09 Jul 2021,"$625,000","25 Pastille Road, Manor Lakes",4,2,2,448,House,McGrath Estate Agents - WERRIBEE,Taney Jai
06 Jul 2021,"$634,000","10 Shire Street, Manor Lakes",4,2,2,448,House,Bal Real Estate - TRUGANINA,Bal Amardeep
05 Jul 2021,"$602,000","17 Rondo Drive, Manor Lakes",3,2,2,448,House,Barry Plant - Werribee,N/A
01 Jul 2021,"$542,500","14 Firecrest Road, Manor Lakes",4,2,4,400,House,Ray White - Werribee,lex Krnjeta
30 Jun 2021,"$675,000","16 Yarra Gum Road, Manor Lakes",4,2,2,594,House,Bal Real Estate - TRUGANINA,Bal Amardeep
25 Jun 2021,"$554,000","35 Bertie Street, Manor Lakes",4,2,2,448,House,YPA Wyndham City - WERRIBEE,N/A
21 Jun 2021,"$510,000","1149 Ison Road, Manor Lakes",3,2,2,N/A,House,Ray White - Werribee,Mitch Bourchier
19 Jun 2021,"$641,500","33 Lambertia Crescent, Manor Lakes",4,2,2,576,House,Stockdale & Leggo  - Laverton/Altona/Point Cook ,Sunny Kumar
18 Jun 2021,"$572,000","49 Minindee Road, Manor Lakes",3,2,2,512,House,P Di Natale Real Estate,Jodi Licastro
18 Jun 2021,"$515,000","19 Yellow Gum Way, Manor Lakes",3,2,2,424,House,Stockdale & Leggo  - Laverton/Altona/Point Cook ,Sunny Kumar
16 Jun 2021,"$612,000","12 Mundi Crescent, Manor Lakes",4,2,2,512,House,First National Westwood - Werribee,Rob Westwood
15 Jun 2021,"$776,000","4 Pastille Road, Manor Lakes",4,3,2,494,House,Barry Plant - Werribee,N/A
11 Jun 2021,"$590,000","23 Medlar Avenue, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
11 Jun 2021,"$540,000","12 Bush Street, Manor Lakes",4,2,2,N/A,House,OBrien Real Estate - Werribee,Lachlan Cro
04 Jun 2021,"$720,000","58 Bregman Esplanade, Manor Lakes",6,4,2,N/A,House,Ray White - Werribee,lex Krnjeta
04 Jun 2021,"$622,000","12 Edenvale Street, Manor Lakes",4,2,2,N/A,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
03 Jun 2021,"$566,000","12 Bregman Esplanade, Manor Lakes",3,2,2,570,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
31 May 2021,"$480,000","33 Firecrest Road, Manor Lakes",3,2,2,18,House,Hodges - Werribee,Tony Vercher
29 May 2021,"$644,000","18 Rosewater Street, Manor Lakes",4,2,2,N/A,House,Ray White - Tarneit,N/A
29 May 2021,"$530,000","34 Goodenia Avenue, Manor Lakes",4,2,2,400,House,Ray White - Werribee,lex Krnjeta
28 May 2021,"$600,000","3 Liquorice Street, Manor Lakes",4,2,2,N/A,House,LJ Hooker Property Point,Natalie Newdick
28 May 2021,"$465,000","6 Cardinia Grove, Manor Lakes",3,2,1,N/A,House,Equity Wise Real Estate - WYNDHAM VALE,Sweta Malik
24 May 2021,"$535,000","65 Kinglake Drive, Manor Lakes",4,2,2,511,House,DK Property Partners Melb - Sunshine,N/A
21 May 2021,"$538,200","8 Saris Street, Manor Lakes",4,2,2,395,House,Ray White - Werribee,lex Krnjeta
20 May 2021,"$610,000","22 Dutch Avenue, Manor Lakes",4,2,4,507,House,The Agents Excellence in Real Estate - WILLIAMS LANDING,Surjeet Singh Shahi
20 May 2021,"$525,000","20 Sugarlea Street, Manor Lakes",3,2,2,448,House,YPA Wyndham City - WERRIBEE,Kirsty Cunningham
19 May 2021,"$662,500","27 Clarence Street, Manor Lakes",4,2,2,640,House,Ray White - Werribee,lex Krnjeta
14 May 2021,"$601,000","2 Salvinia Street, Manor Lakes",4,2,2,507,House,Ray White - Werribee,Robert Krnjeta
13 May 2021,"$590,000","5 Hindmarsh Drive, Manor Lakes",4,2,2,700,House,Ray White - Werribee,Jeff Gaul
11 May 2021,"$645,000","9 Gairdner Street, Manor Lakes",4,2,2,N/A,House,Reliance Real Estate  - Point Cook,Inder Vasu
10 May 2021,"$750,000","17 Connewarre Close, Manor Lakes",5,2,2,820,House,YPA Wyndham City - WERRIBEE,Mitch Smi
07 May 2021,"$640,350","6 Toolibin Street, Manor Lakes",4,2,2,512,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
06 May 2021,"$567,500","6 Woburn Crescent, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
05 May 2021,"$567,500","31 Eltham Parade, Manor Lakes",3,2,2,N/A,House,Maximum List Real Estate - WERRIBEE,Leonie Toso
03 May 2021,"$780,000","30 Field Street, Manor Lakes",6,3,2,448,House,Ray White - Werribee,Robert Krnjeta
29 Apr 2021,"$590,000","22 Spearmint Boulevard, Manor Lakes",4,2,2,512,House,Ace Real Estate - Laverton & Point Cook,Ravish Sharma
28 Apr 2021,"$540,000","28 Edenvale Street, Manor Lakes",4,2,2,N/A,House,Ray White - Werribee,Mitch Bourchier
24 Apr 2021,"$520,000","14 Ixora Crescent, Manor Lakes",4,2,2,395,House,YPA Wyndham City - WERRIBEE,N/A
23 Apr 2021,"$710,000","32 Creekside Boulevard, Manor Lakes",4,2,2,N/A,House,Barry Plant - Werribee,N/A
